frame,time_s,Kc,Kh,target_speed,target_heading_deg,heading_error_deg,heading_correction,error_L,error_R,command_L,command_R,left_speed,right_speed,v,w,theta_deg,x,y
333,5.328,2.0,40.0,100.0,0.0,-2.1988,-1.5351,33.8455,30.7698,67.691,61.5396,67.6896,67.6951,67.6923,0.0001,2.1989,550.62,251.86
336,5.376,2.0,40.0,100.0,0.0,-2.1991,-1.5352,33.8455,30.7698,67.6911,61.5396,67.6897,67.6949,67.6923,0.0001,2.1991,553.87,251.98
339,5.424,2.0,40.0,100.0,0.0,-2.1993,-1.5354,33.8456,30.7698,67.6912,61.5395,67.6899,67.6948,67.6923,0.0001,2.1994,557.11,252.11
342,5.472,2.0,40.0,100.0,0.0,-2.1995,-1.5356,33.8456,30.7697,67.6912,61.5395,67.69,67.6947,67.6923,0.0001,2.1996,560.36,252.23
345,5.52,2.0,40.0,100.0,0.0,-2.1997,-1.5357,33.8456,30.7697,67.6913,61.5394,67.6901,67.6945,67.6923,0.0001,2.1998,563.61,252.36
348,5.568,2.0,40.0,100.0,0.0,-2.1999,-1.5358,33.8457,30.7697,67.6913,61.5394,67.6902,67.6944,67.6923,0.0001,2.2,566.86,252.48
351,5.616,2.0,40.0,100.0,0.0,-2.2001,-1.536,33.8457,30.7697,67.6914,61.5393,67.6903,67.6943,67.6923,0.0001,2.2002,570.1,252.6
354,5.664,2.0,40.0,100.0,0.0,-2.2003,-1.5361,33.8457,30.7696,67.6914,61.5393,67.6904,67.6942,67.6923,0.0001,2.2004,573.35,252.73
357,5.712,2.0,40.0,100.0,0.0,-2.2005,-1.5362,33.8457,30.7696,67.6915,61.5392,67.6905,67.6941,67.6923,0.0001,2.2005,576.6,252.85
360,5.76,2.0,40.0,100.0,0.0,-2.2006,-1.5363,33.8458,30.7696,67.6915,61.5392,67.6906,67.694,67.6923,0.0001,2.2007,579.84,252.98
363,5.808,2.0,40.0,100.0,0.0,-2.2008,-1.5364,33.8458,30.7696,67.6915,61.5392,67.6907,67.6939,67.6923,0.0001,2.2008,583.09,253.1
366,5.856,2.0,40.0,100.0,0.0,-2.2009,-1.5365,33.8458,30.7696,67.6916,61.5391,67.6908,67.6939,67.6923,0.0001,2.201,586.34,253.23
369,5.904,2.0,40.0,100.0,0.0,-2.2011,-1.5366,33.8458,30.7695,67.6916,61.5391,67.6909,67.6938,67.6923,0.0,2.2011,589.58,253.35
372,5.952,2.0,40.0,100.0,0.0,-2.2012,-1.5367,33.8458,30.7695,67.6917,61.5391,67.6909,67.6937,67.6923,0.0,2.2013,592.83,253.48
375,6.0,2.0,40.0,100.0,0.0,-2.2013,-1.5368,33.8458,30.7695,67.6917,61.539,67.691,67.6936,67.6923,0.0,2.2014,596.08,253.6
378,6.048,2.0,40.0,100.0,0.0,-2.2015,-1.5369,33.8459,30.7695,67.6917,61.539,67.6911,67.6936,67.6923,0.0,2.2015,599.32,253.73
381,6.096,2.0,40.0,100.0,0.0,-2.2016,-1.537,33.8459,30.7695,67.6918,61.539,67.6911,67.6935,67.6923,0.0,2.2016,602.57,253.85
384,6.144,2.0,40.0,100.0,0.0,-2.2017,-1.5371,33.8459,30.7695,67.6918,61.539,67.6912,67.6934,67.6923,0.0,2.2017,605.82,253.98
387,6.192,2.0,40.0,100.0,0.0,-2.2018,-1.5371,33.8459,30.7695,67.6918,61.5389,67.6912,67.6934,67.6923,0.0,2.2018,609.06,254.1
390,6.24,2.0,40.0,100.0,0.0,-2.2019,-1.5372,33.8459,30.7695,67.6918,61.5389,67.6913,67.6933,67.6923,0.0,2.2019,612.31,254.23
393,6.288,2.0,40.0,100.0,0.0,-2.202,-1.5373,33.8459,30.7694,67.6919,61.5389,67.6913,67.6933,67.6923,0.0,2.202,615.56,254.35
396,6.336,2.0,40.0,100.0,0.0,-2.202,-1.5373,33.8459,30.7694,67.6919,61.5389,67.6914,67.6932,67.6923,0.0,2.2021,618.8,254.48
399,6.384,2.0,40.0,100.0,0.0,-2.2021,-1.5374,33.846,30.7694,67.6919,61.5388,67.6914,67.6932,67.6923,0.0,2.2022,622.05,254.6
402,6.432,2.0,40.0,100.0,0.0,-2.2022,-1.5374,33.846,30.7694,67.6919,61.5388,67.6915,67.6931,67.6923,0.0,2.2022,625.3,254.73
405,6.48,2.0,40.0,100.0,0.0,-2.2023,-1.5375,33.846,30.7694,67.6919,61.5388,67.6915,67.6931,67.6923,0.0,2.2023,628.54,254.85
408,6.528,2.0,40.0,100.0,0.0,-2.2024,-1.5375,33.846,30.7694,67.692,61.5388,67.6916,67.6931,67.6923,0.0,2.2024,631.79,254.98
411,6.576,2.0,40.0,100.0,0.0,-2.2024,-1.5376,33.846,30.7694,67.692,61.5388,67.6916,67.693,67.6923,0.0,2.2024,635.04,255.1
414,6.624,2.0,40.0,100.0,0.0,-2.2025,-1.5376,33.846,30.7694,67.692,61.5388,67.6916,67.693,67.6923,0.0,2.2025,638.29,255.23
417,6.672,2.0,40.0,100.0,0.0,-2.2025,-1.5377,33.846,30.7694,67.692,61.5387,67.6917,67.693,67.6923,0.0,2.2026,641.53,255.35
420,6.72,2.0,40.0,100.0,0.0,-2.2026,-1.5377,33.846,30.7694,67.692,61.5387,67.6917,67.6929,67.6923,0.0,2.2026,644.78,255.48
423,6.768,2.0,40.0,100.0,0.0,-2.2027,-1.5377,33.846,30.7694,67.692,61.5387,67.6917,67.6929,67.6923,0.0,2.2027,648.03,255.6
426,6.816,2.0,40.0,100.0,0.0,-2.2027,-1.5378,33.846,30.7693,67.6921,61.5387,67.6918,67.6929,67.6923,0.0,2.2027,651.27,255.73
429,6.864,2.0,40.0,100.0,0.0,-2.2028,-1.5378,33.846,30.7693,67.6921,61.5387,67.6918,67.6928,67.6923,0.0,2.2028,654.52,255.85
432,6.912,2.0,40.0,100.0,0.0,-2.2028,-1.5379,33.846,30.7693,67.6921,61.5387,67.6918,67.6928,67.6923,0.0,2.2028,657.77,255.98
435,6.96,2.0,40.0,100.0,0.0,-2.2029,-1.5379,33.846,30.7693,67.6921,61.5387,67.6918,67.6928,67.6923,0.0,2.2029,661.01,256.1
438,7.008,2.0,40.0,100.0,0.0,-2.2029,-1.5379,33.8461,30.7693,67.6921,61.5387,67.6919,67.6928,67.6923,0.0,2.2029,664.26,256.22
441,7.056,2.0,40.0,100.0,0.0,-2.2029,-1.5379,33.8461,30.7693,67.6921,61.5386,67.6919,67.6927,67.6923,0.0,2.2029,667.51,256.35
444,7.104,2.0,40.0,100.0,0.0,-2.203,-1.538,33.8461,30.7693,67.6921,61.5386,67.6919,67.6927,67.6923,0.0,2.203,670.75,256.47
447,7.152,2.0,40.0,100.0,0.0,-2.203,-1.538,33.8461,30.7693,67.6921,61.5386,67.6919,67.6927,67.6923,0.0,2.203,674.0,256.6
450,7.2,2.0,40.0,100.0,0.0,-2.203,-1.538,33.8461,30.7693,67.6921,61.5386,67.692,67.6927,67.6923,0.0,2.2031,677.25,256.72
453,7.248,2.0,40.0,100.0,0.0,-2.2031,-1.538,33.8461,30.7693,67.6921,61.5386,67.692,67.6927,67.6923,0.0,2.2031,680.49,256.85
456,7.296,2.0,40.0,100.0,0.0,-2.2031,-1.5381,33.8461,30.7693,67.6922,61.5386,67.692,67.6926,67.6923,0.0,2.2031,683.74,256.97
459,7.344,2.0,40.0,100.0,0.0,-2.2031,-1.5381,33.8461,30.7693,67.6922,61.5386,67.692,67.6926,67.6923,0.0,2.2031,686.99,257.1
462,7.392,2.0,40.0,100.0,0.0,-2.2032,-1.5381,33.8461,30.7693,67.6922,61.5386,67.692,67.6926,67.6923,0.0,2.2032,690.23,257.22
465,7.44,2.0,40.0,100.0,0.0,-2.2032,-1.5381,33.8461,30.7693,67.6922,61.5386,67.692,67.6926,67.6923,0.0,2.2032,693.48,257.35
468,7.488,2.0,40.0,100.0,0.0,-2.2032,-1.5381,33.8461,30.7693,67.6922,61.5386,67.692,67.6926,67.6923,0.0,2.2032,696.73,257.47
471,7.536,2.0,40.0,100.0,0.0,-2.2032,-1.5382,33.8461,30.7693,67.6922,61.5386,67.6921,67.6926,67.6923,0.0,2.2032,699.98,257.6
474,7.584,2.0,40.0,100.0,0.0,-2.2033,-1.5382,33.8461,30.7693,67.6922,61.5386,67.6921,67.6925,67.6923,0.0,2.2033,703.22,257.72
477,7.632,2.0,40.0,100.0,0.0,-2.2033,-1.5382,33.8461,30.7693,67.6922,61.5386,67.6921,67.6925,67.6923,0.0,2.2033,706.47,257.85
