frame,time_s,Kc,target_speed,error_L,error_R,command_L,command_R,left_speed,right_speed,v,w,theta_deg,x,y
270,4.32,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.653,409.36,241.32
273,4.368,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.6595,411.69,241.34
276,4.416,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.6661,414.01,241.37
279,4.464,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.6726,416.34,241.4
282,4.512,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.6791,418.67,241.43
285,4.56,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.6856,420.99,241.45
288,4.608,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.6922,423.32,241.48
291,4.656,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.6987,425.64,241.51
294,4.704,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.7052,427.97,241.54
297,4.752,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.7117,430.3,241.57
300,4.8,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.7183,432.62,241.6
303,4.848,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.7248,434.95,241.63
306,4.896,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.7313,437.27,241.66
309,4.944,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.7378,439.6,241.69
312,4.992,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.7444,441.92,241.72
315,5.04,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.7509,444.25,241.75
318,5.088,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.7574,446.58,241.78
321,5.136,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.7639,448.9,241.81
324,5.184,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.7704,451.23,241.84
327,5.232,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.777,453.55,241.87
330,5.28,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.7835,455.88,241.9
333,5.328,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.79,458.2,241.93
336,5.376,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.7965,460.53,241.97
339,5.424,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.8031,462.86,242.0
342,5.472,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.8096,465.18,242.03
345,5.52,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.8161,467.51,242.06
348,5.568,30.0,50.0,1.6129,1.4706,48.3871,44.1176,48.3871,48.5294,48.4583,0.0024,0.8226,469.83,242.1
